Budget Summary
Generated on: 2025-08-28
Field,Value
Month,April
Monthly Income,57000.00
Tax Amount,6840.00
After Tax Income,50160.00
Total Fixed Expenses,7200.00
Total Daily Expenses,6000.00
Disposable Income,36960.00

Savings Summary
Savings Type,Suggested
Savings Amount,18480.00

Fixed Expenses Breakdown
Name,Amount
Rent,5000.00
Electricity,1000.00
Water,400.00
Shopping,700.00
Fuel,100.00

Daily Spending Description
food and transport,200.0

Income Allocation Breakdown
Category,Percentage
Tax,12.00%
Fixed Expenses,12.63%
Daily Expenses,10.53%
Disposable Income,64.84%
Savings,32.42%

Thank you for using BudgetBuddy 💖!
