Budget Summary
Generated on: 2025-08-29
Field,Value
Month,July
Monthly Income,400000.00
Tax Amount,140000.00
After Tax Income,260000.00
Total Fixed Expenses,37000.00
Total Daily Expenses,15000.00
Disposable Income,208000.00

Savings Summary
Savings Type,Suggested
Savings Amount,104000.00

Fixed Expenses Breakdown
Name,Amount
Rent,10000.00
Electricity,2000.00
Water,1000.00
Shopping,15000.00
Fuel,9000.00

Daily Spending Description
coffee and lunch,500.0

Income Allocation Breakdown
Category,Percentage
Tax,35.00%
Fixed Expenses,9.25%
Daily Expenses,3.75%
Disposable Income,52.00%
Savings,26.00%

Thank you for using BudgetBuddy 💖!
